,Name,Symbol,Date,Watching,Data2018,Rate,Price,Volume,FullyDilluted,CirculatingSupply
1,Bitcoin,BTC,2013-04-28T00:00:00.000Z,1870458,True,6.195537809930688,11494.872688802083,9975309533.866667,192842424939.07666,16774162.387881545
2,Litecoin,LTC,2013-04-28T00:00:00.000Z,549972,True,1.9888814654754639,175.5300342241923,975323616.2,9595128023.710083,809413.7172675313
3,Namecoin,NMC,2013-04-28T00:00:00.000Z,3326,True,0.9169704151818184,3.150424009561539,652767.1616536458,46425908.2336,3979.4034524271037
4,Terracoin,TRC,2013-04-28T00:00:00.000Z,1428,True,0.1988357995515976,0.23558745812624693,24264.86278483073,5173974.883507166,461.3476634777224
5,Peercoin,PPC,2013-04-28T00:00:00.000Z,7095,True,0.4980302407133144,3.879527067144712,2271261.783333333,95260949.3125075,8151.842079717262
6,Novacoin,NVC,2013-04-28T00:00:00.000Z,491,True,0.3551319996859932,5.858021742105484,193195.22825520832,11368804.968252,1027.9587801453154
7,Devcoin,DVC,2013-04-28T00:00:00.000Z,45,False,,,,,
8,Feathercoin,FTC,2013-05-03T00:00:00.000Z,3206,True,0.27554472950793774,0.28950514836857716,1272395.8516927084,54140605.84801083,4542.606296734246
9,Mincoin,MNC,2013-05-03T00:00:00.000Z,124,True,,0.09994830037467181,1365.8374788443248,404916.48441966664,35.77383212175888
10,Freicoin,FRC,2013-05-03T00:00:00.000Z,888,True,2.425124648443677,0.010505082011379363,575.71804457953,313079.5957862185,27.558123172536792
12,BBQCoin,BQC,2013-05-08T00:00:00.000Z,73,False,,,,,
13,Ixcoin,IXC,2013-05-08T00:00:00.000Z,516,True,1.5781183771152487,0.2197346655651927,3432.466904556751,4614227.584265667,397.3148793537444
14,BitBar,BTB,2013-05-09T00:00:00.000Z,1167,True,,37.52450421651204,2115.1817339579266,1341335.6187818667,114.56483605105056
15,Bytecoin,BTE,2013-05-10T00:00:00.000Z,73,False,,,,,
16,WorldCoin,WDC,2013-05-22T00:00:00.000Z,451,True,10.281043639941142,0.029690006332627188,19979.098680496216,3494355.4633833165,287.3032379741026
17,Yacoin,YAC,2013-06-09T00:00:00.000Z,7,True,,0.00172796387503221,169.57019553164474,207782.17433728735,18.130145590737158
18,Digitalcoin,DGC,2013-06-09T00:00:00.000Z,1089,True,0.5863556058615127,0.04538584092321495,7664.388753128052,1262869.2751622752,106.08419385847664
19,Franko,FRK,2013-06-09T00:00:00.000Z,5,True,,0.22991875792392577,138.70922261115277,214000.7922325152,18.031116737071493
20,Elacoin,ELC,2013-06-09T00:00:00.000Z,32,True,,0.2869949771091342,3636.6537433040307,4097.8084057333335,0.39011853010875003
22,Luckycoin,LKY,2013-06-14T00:00:00.000Z,125,False,,,,,
23,Nibble [old],NBL,2013-06-14T00:00:00.000Z,24,False,,,,,
24,AmericanCoin,AMC,2013-06-09T00:00:00.000Z,312,False,,,,,
25,Goldcoin,GLC,2013-06-14T00:00:00.000Z,2892,True,1.656526479650965,0.21605734961728254,205043.63997395834,8801630.697821584,778.8431248058499
26,Junkcoin,JKC,2013-06-14T00:00:00.000Z,16,False,,,,,
27,Hypercoin,HYC,2013-07-04T00:00:00.000Z,65,False,,,,,
28,Doubloons,DBL,2013-07-04T00:00:00.000Z,11,False,,,,,
29,Bottlecaps,CAP,2013-07-04T00:00:00.000Z,23,False,,,,,
30,Noirbits,NRB,2013-07-04T00:00:00.000Z,8,False,,,,,
31,Argentum,ARG,2013-07-04T00:00:00.000Z,153,True,,0.050820688992583504,10647.684431044261,449773.8580355516,40.600043496679035
32,Fastcoin,FST,2013-07-04T00:00:00.000Z,877,True,4.77993804060572,0.014781330002006144,17190.137001546223,2256523.039395667,193.58589403588044
33,EZCoin,EZC,2013-07-04T00:00:00.000Z,35,False,,,,,
34,Bitgem,BTG,2013-07-04T00:00:00.000Z,68,True,,7.036893297235171,11151.333350149791,420452.70826033334,38.662542770082474
35,Phoenixcoin,PXC,2013-07-04T00:00:00.000Z,1865,True,2.7953620919841593,0.01291553487147515,3610.738647270203,816159.8270463584,69.46766429193231
36,AlphaCoin,ALF,2013-07-07T00:00:00.000Z,70,False,,,,,
37,Megacoin,MEC,2013-07-07T00:00:00.000Z,1073,True,1.5740042431507943,0.07041298126180967,29954.73116982778,2573778.675182267,218.25062520672822
38,Krugercoin,KGC,2013-07-07T00:00:00.000Z,15,False,,,,,
39,CraftCoin,CRC,2013-07-07T00:00:00.000Z,9,False,,,,,
40,StableCoin,SBC,2013-07-07T00:00:00.000Z,282,False,,,,,
41,Infinitecoin,IFC,2013-07-10T00:00:00.000Z,4155,True,2.3001430166434393,0.0001555552418977868,99899.46736799106,206650.63154819998,28.232064202944716
42,Primecoin,XPM,2013-07-11T00:00:00.000Z,1538,True,0.09366806845610545,0.5817897917702795,404825.42006835935,12864483.450879417,1122.5291962268534
43,Anoncoin,ANC,2013-07-15T00:00:00.000Z,524,True,0.08757484009613678,2.0656359767812926,5166.262672710419,4359146.413320571,356.2837078849208
44,NanoToken,NAN,2013-07-18T00:00:00.000Z,55,False,,,,,
45,CasinoCoin,CSC,2018-01-16T00:00:00.000Z,19057,True,2.863682757497582,0.14771470802536765,11867.13463818896,5674200.995750989,548.0317962727962
46,XenCoin,XNC,2013-07-25T00:00:00.000Z,8,False,,,,,
47,Spots,SPT,2013-07-25T00:00:00.000Z,17,True,,0.0061460716630487395,3105.1557477513948,137709.01230924833,12.168907868937826
48,Lebowskis,LBW,2013-07-25T00:00:00.000Z,16,False,,,,,
49,Bullion,CBX,2013-08-04T00:00:00.000Z,15,True,,3.075934584935506,4525.258599344889,3098273.872877334,278.83344555407507
50,Emerald Crypto,EMD,2013-08-04T00:00:00.000Z,1536,True,1.496560946376749,0.019546555719959238,1658.9688226739565,373674.0350753425,32.16858115247518
51,GlobalCoin,GLC,2013-08-04T00:00:00.000Z,34,True,,0.00676543305381241,137.51870322431256,440910.1065413333,39.43825967890117
