,Name,Symbol,Date,Watching,Rate,Price,Volume,FullyDilluted,CirculatingSupply
1,Bitcoin,BTC,2013-04-28,1870458,6.195537809930687,11494.872688802085,9975309533.866669,192842424939.07666,16774162.387881545
2,Litecoin,LTC,2013-04-28,549972,1.988881465475464,175.53003422419232,975323616.2,9595128023.710085,809413.7172675312
3,Namecoin,NMC,2013-04-28,3326,0.9169704151818184,3.150424009561539,652767.1616536458,46425908.2336,3979.4034524271037
4,Terracoin,TRC,2013-04-28,1428,0.1988357995515976,0.2355874581262469,24264.862784830733,5173974.883507166,461.3476634777224
5,Peercoin,PPC,2013-04-28,7095,0.4980302407133144,3.8795270671447124,2271261.783333333,95260949.3125075,8151.842079717262
6,Novacoin,NVC,2013-04-28,491,0.3551319996859932,5.858021742105483,193195.22825520832,11368804.968252001,1027.9587801453154
8,Feathercoin,FTC,2013-05-03,3206,0.2755447295079377,0.2895051483685772,1272395.8516927084,54140605.84801083,4542.606296734246
10,Freicoin,FRC,2013-05-03,888,2.425124648443677,0.010505082011379363,575.71804457953,313079.59578621853,27.55812317253679
13,Ixcoin,IXC,2013-05-08,516,1.5781183771152487,0.2197346655651927,3432.466904556751,4614227.584265667,397.31487935374435
16,WorldCoin,WDC,2013-05-22,451,10.281043639941142,0.029690006332627188,19979.098680496216,3494355.463383316,287.3032379741026
18,Digitalcoin,DGC,2013-06-09,1089,0.5863556058615127,0.04538584092321495,7664.388753128052,1262869.2751622752,106.08419385847664
25,Goldcoin,GLC,2013-06-14,2892,1.6565264796509651,0.2160573496172825,205043.63997395837,8801630.697821584,778.8431248058499
32,Fastcoin,FST,2013-07-04,877,4.779938040605719,0.014781330002006144,17190.137001546223,2256523.0393956667,193.58589403588044
35,Phoenixcoin,PXC,2013-07-04,1865,2.7953620919841597,0.01291553487147515,3610.7386472702033,816159.8270463585,69.46766429193232
37,Megacoin,MEC,2013-07-07,1073,1.5740042431507943,0.07041298126180967,29954.731169827784,2573778.675182267,218.25062520672824
41,Infinitecoin,IFC,2013-07-10,4155,2.30014301664344,0.0001555552418977868,99899.46736799105,206650.6315482,28.232064202944716
42,Primecoin,XPM,2013-07-11,1538,0.09366806845610544,0.5817897917702795,404825.42006835935,12864483.450879415,1122.5291962268534
43,Anoncoin,ANC,2013-07-15,524,0.08757484009613678,2.0656359767812926,5166.262672710419,4359146.413320571,356.28370788492083
45,CasinoCoin,CSC,2018-01-16,19057,2.863682757497582,0.14771470802536765,11867.13463818896,5674200.995750989,548.0317962727962
